OBJECTID_1,F1,road1,road2,ObjectID,x,y
1,0.000000000000000,深南大道,香蜜湖路,1,114.0233536,22.5394440
2,1.000000000000000,滨河大道,香蜜湖路,2,114.0254593,22.5313816
3,2.000000000000000,红荔西路,香蜜湖路,3,114.0218811,22.5449467
4,3.000000000000000,侨香路,香蜜湖路,4,114.0157242,22.5554600
5,4.000000000000000,北环大道,香蜜湖路,5,114.0148773,22.5600853
6,5.000000000000000,上步南路,滨河大道,6,114.0913391,22.5381737
7,6.000000000000000,红岭南路,滨河大道,7,114.0996246,22.5382195
8,7.000000000000000,华强南路,滨河大道,8,114.0818024,22.5372543
9,8.000000000000000,福田路,滨河大道,9,114.0720139,22.5318222
10,9.000000000000000,皇岗路,滨河大道,10,114.0682068,22.5317326
11,10.000000000000000,彩田路,滨河大道,11,114.0630646,22.5316620
12,11.000000000000000,金田路(福田),滨河大道,12,114.0582199,22.5315800
13,12.000000000000000,益田路,滨河大道,13,114.0513840,22.5314655
14,13.000000000000000,新洲路,滨河大道,14,114.0445938,22.5313759
15,14.000000000000000,沙嘴路,滨河大道,15,114.0337219,22.5302448
16,15.000000000000000,滨海大道,滨河大道,16,114.0147400,22.5308743
17,16.000000000000000,南坪快速路,福龙路,17,114.0101013,22.5900631
18,17.000000000000000,北环大道,福龙路,18,114.0148697,22.5601406
19,18.000000000000000,侨城东路,滨海大道,19,113.9939194,22.5273438
20,19.000000000000000,皇岗路,北环大道,20,114.0675583,22.5689945
21,20.000000000000000,泥岗西路,北环大道,21,114.0868454,22.5666008
22,21.000000000000000,彩田路,北环大道,22,114.0623016,22.5683441
23,22.000000000000000,中康路,北环大道,23,114.0542068,22.5650845
24,23.000000000000000,梅村路,北环大道,24,114.0486755,22.5651588
25,24.000000000000000,新洲路,北环大道,25,114.0400620,22.5635376
26,25.000000000000000,景田路,北环大道,26,114.0328751,22.5621567
27,26.000000000000000,香梅路,北环大道,27,114.0249939,22.5608540
28,27.000000000000000,南坪快速路,北环大道,28,113.9832458,22.5583210
29,28.000000000000000,滨河大道辅道,福田南路,29,114.0720291,22.5316582
30,29.000000000000000,百合路,福田南路,30,114.0710602,22.5259457
31,30.000000000000000,景田路,红荔西路,31,114.0397263,22.5495815
32,31.000000000000000,新洲路,红荔西路,32,114.0442429,22.5506248
33,32.000000000000000,香梅路,红荔西路,33,114.0344391,22.5481853
34,33.000000000000000,农园路,红荔西路,34,114.0171967,22.5441551
35,34.000000000000000,农林路,红荔西路,35,114.0122147,22.5429649
36,35.000000000000000,梅观路,皇岗北路,36,114.0622406,22.5778866
37,36.000000000000000,皇岗北路,北环大道,37,114.0675430,22.5690556
38,37.000000000000000,梅林路,梅丽路,38,114.0352859,22.5678711
39,38.000000000000000,梅华路,梅丽路,39,114.0366440,22.5657673
40,39.000000000000000,上步中路,深南中路,40,114.0912170,22.5433464
41,40.000000000000000,深南东路,深南中路,41,114.0994949,22.5435371
42,41.000000000000000,华强北路,深南中路,42,114.0816727,22.5431595
43,42.000000000000000,华富路,深南中路,43,114.0761566,22.5430813
44,43.000000000000000,深南大道,深南中路,44,114.0680618,22.5428905
45,44.000000000000000,南坪快速路,梅观路,45,114.0484543,22.5923290
46,45.000000000000000,振华路,华富路,46,114.0760803,22.5470295
47,46.000000000000000,红荔路,华富路,47,114.0759735,22.5515022
48,47.000000000000000,泥岗西路,华富路,48,114.0814819,22.5584278
49,48.000000000000000,福华路,福田路,49,114.0719376,22.5387001
50,49.000000000000000,深南大道,福田路,50,114.0718613,22.5429668
51,50.000000000000000,福强路,益田路,51,114.0509491,22.5181942
52,51.000000000000000,广深高速公路,益田路,52,114.0510635,22.5135174
53,52.000000000000000,福民路(福田),益田路,53,114.0514755,22.5257893
54,53.000000000000000,福华路,益田路,54,114.0511017,22.5447159
55,54.000000000000000,深南大道,益田路,55,114.0510712,22.5512390
56,55.000000000000000,红荔路,益田路,56,114.0326233,22.5262356
57,56.000000000000000,沙嘴路,福强路,57,114.0255203,22.5312080
58,57.000000000000000,福强路,滨河大道,58,114.0417862,22.5211716
59,58.000000000000000,新洲路,福强路,59,114.0609741,22.5211544
60,59.000000000000000,金田路(福田),福强路,60,114.0631256,22.5259342
61,60.000000000000000,福民路(福田),福强路,61,114.0630646,22.5316086
62,61.000000000000000,彩田路,福强路,62,114.0036697,22.5331192
63,62.000000000000000,红树林路,白石路,63,114.0115204,22.5339031
64,63.000000000000000,广深高速公路,白石路,64,113.9933624,22.5310631
65,64.000000000000000,侨城东路,白石路,65,114.0293045,22.5566463
66,65.000000000000000,香梅路,侨香路,66,114.0092545,22.5528851
67,66.000000000000000,农园路,侨香路,67,114.0066910,22.5492706
68,67.000000000000000,农林路,侨香路,68,113.9913559,22.5437241
69,68.000000000000000,侨城东路,侨香路,69,114.0629425,22.5376225
70,69.000000000000000,福华路,彩田路,70,114.0628281,22.5428047
71,70.000000000000000,深南大道,彩田路,71,114.0626907,22.5513992
72,71.000000000000000,红荔路,彩田路,72,114.0626144,22.5583458
73,72.000000000000000,笋岗西路,彩田路,73,114.0599976,22.5782051
74,73.000000000000000,彩田路,梅观路,74,113.9927750,22.5350075
75,74.000000000000000,深南大道,侨城东路,75,114.0909348,22.5584793
76,75.000000000000000,泥岗西路,上步北路,76,114.0869064,22.5663929
77,76.000000000000000,笋岗西路,上步北路,77,114.0912018,22.5432415
78,77.000000000000000,上步南路,深南中路,78,114.0910568,22.5517635
79,78.000000000000000,红荔路,上步中路,79,114.0909653,22.5583687
80,79.000000000000000,笋岗西路,上步中路,80,114.0383987,22.5156803
81,80.000000000000000,福荣路,新洲路,81,114.0444946,22.5257835
82,81.000000000000000,福民路(福田),新洲路,82,114.0443802,22.5423374
83,82.000000000000000,深南大道,新洲路,83,114.0442429,22.5505657
84,83.000000000000000,红荔路,新洲路,84,114.0513153,22.5374184
85,84.000000000000000,莲花路(福田),新洲路,85,114.0437622,22.5568542
86,85.000000000000000,广深高速公路,皇岗路,86,114.0624771,22.5198650
87,86.000000000000000,福华路,皇岗路,87,114.0680923,22.5386448
88,87.000000000000000,深南大道,皇岗路,88,114.0680771,22.5426788
89,88.000000000000000,红荔路,皇岗路,89,114.0678635,22.5510368
90,89.000000000000000,笋岗西路,皇岗路,90,114.0677109,22.5581150
91,90.000000000000000,八卦路,笋岗西路,91,114.0946426,22.5584812
92,91.000000000000000,红岭北路,笋岗西路,92,114.0992966,22.5585041
93,92.000000000000000,泥岗西路,笋岗西路,93,114.0813828,22.5585079
94,93.000000000000000,金田路(福田),深南大道,94,114.0579071,22.5427246
95,94.000000000000000,香梅路,深南大道,95,114.0357285,22.5415840
96,95.000000000000000,农园路,深南大道,96,114.0183029,22.5387058
97,96.000000000000000,广深高速,深南大道,97,114.0114975,22.5376148
98,97.000000000000000,八卦三路,八卦路,98,114.0945740,22.5646591
99,98.000000000000000,泥岗西路,八卦路,99,114.0944214,22.5680275
100,99.000000000000000,红岭北路,八卦三路,100,114.0991364,22.5647182
101,100.000000000000000,八卦三路,上步北路,101,114.0879517,22.5644836
102,101.000000000000000,泥岗西路,八卦三路,102,114.0879898,22.5646114
103,102.000000000000000,南园路,福华路,103,114.0817032,22.5406780
104,103.000000000000000,金田路(福田),福华路,104,114.0580673,22.5375538
105,104.000000000000000,福华路,新洲路,105,114.0445557,22.5373669
106,105.000000000000000,福荣路,益田路,106,114.0508728,22.5145149
107,106.000000000000000,沙嘴路,福荣路,107,114.0290527,22.5209007
108,107.000000000000000,福荣路,滨河大道,108,114.0163727,22.5310574
109,108.000000000000000,福田四号路,益田路,109,114.0505753,22.5166702
110,109.000000000000000,福田四号路,皇岗路,110,114.0575638,22.5161800
111,110.000000000000000,红荔路,海田路,111,114.0602188,22.5514011
112,111.000000000000000,海田路,深南大道,112,114.0604782,22.5428028
113,112.000000000000000,宏威路,北环大道,113,114.0542221,22.5648766
114,113.000000000000000,莲花路(福田),宏威路,114,114.0398178,22.5443993
115,114.000000000000000,新闻路,景田路,115,114.0542831,22.5625019
116,115.000000000000000,莲花路(福田),景田路,116,114.0383453,22.5561047
117,116.000000000000000, 新闻路,景田路,117,114.0398102,22.5444851
118,117.000000000000000,凯丰路,梅观路,118,114.0586548,22.5758953
119,118.000000000000000,凯丰路,北环大道,119,114.0586853,22.5669956
120,119.000000000000000,梅林路,梅村路,120,114.0422745,22.5705242
121,120.000000000000000,中康路,梅华路,121,114.0541458,22.5672131
122,121.000000000000000,梅华路,凯丰路,122,114.0585632,22.5691776
123,122.000000000000000,梅华路,梅村路,123,114.0487442,22.5673389
124,123.000000000000000,梅秀路,梅华路,124,114.0432358,22.5675964
125,124.000000000000000,梅华路,新洲路,125,114.0389328,22.5658665
126,125.000000000000000,梅林路,彩田路,126,114.0616837,22.5711403
127,126.000000000000000,梅林路,皇岗路,127,114.0674438,22.5712643
128,127.000000000000000,中康路,梅林路,128,114.0540619,22.5711765
129,128.000000000000000,梅秀路,梅林路,129,114.0423660,22.5704823
130,129.000000000000000,梅林路,北环大道,130,114.0327911,22.5625095
131,130.000000000000000,梅山路,梅山街,131,114.0271530,22.5685692
132,131.000000000000000,梅山街,梅林路,132,114.0331955,22.5665684
133,132.000000000000000,梅秀路,北环大道,133,114.0441360,22.5649281
134,133.000000000000000,梅坳五路,梅坳二路,134,114.0523453,22.5796242
135,134.000000000000000,中康路,梅坳二路,135,114.0539169,22.5763626
136,135.000000000000000,民田路,深南大道,136,114.0477905,22.5424061
137,136.000000000000000,民田路,滨河大道,137,114.0479431,22.5314808
138,137.000000000000000,华强南路,南园路,138,114.0841751,22.5406685
139,138.000000000000000,南园路,上步南路,139,114.0912247,22.5415459
140,139.000000000000000,农林路,深南大道,140,114.0138702,22.5380554
141,140.000000000000000,泰然九路,深南大道,141,114.0188522,22.5387115
142,141.000000000000000,泰然九路,滨河大道,142,114.0201797,22.5321369
143,142.000000000000000,香梅路,下梅林一街,143,114.0245361,22.5625553
144,143.000000000000000,下梅林一街,梅林路,144,114.0329056,22.5645275
145,144.000000000000000,莲花路(福田),香梅路,145,114.0334015,22.5534363
146,145.000000000000000,雨田路,北环大道,146,114.0488358,22.5648651
147,146.000000000000000,莲花路(福田),雨田路,147,114.0498962,22.5619717
148,147.000000000000000,华强北路,振华路,148,114.0815811,22.5471001
149,148.000000000000000,振华路,上步中路,149,114.0911407,22.5472965
150,149.000000000000000,振华西路,皇岗路,150,114.0679550,22.5477295
151,150.000000000000000,振华西路,华富路,151,114.0762100,22.5470257
152,151.000000000000000,红荔路,华强北路,152,114.0839996,22.5516129
153,152.000000000000000,华强北路,笋岗西路,153,114.0815277,22.5580711
154,153.000000000000000,华强南路,深南中路,154,114.0815582,22.5432701
155,154.000000000000000,红岭中路,红荔路,155,114.0993423,22.5519199
156,155.000000000000000,金田路(福田),红荔路,156,114.0578613,22.5513172
157,156.000000000000000,金田路(福田),福民路(福田),157,114.0596924,22.5259571
158,157.000000000000000,福中路(福田),彩田路,158,114.0627899,22.5475693
159,158.000000000000000,福中路(福田),皇岗路,159,114.0678406,22.5476704
160,159.000000000000000,金田路(福田),福中路(福田),160,114.0579071,22.5474663
161,160.000000000000000,福中路(福田),益田路,161,114.0510864,22.5473461
162,161.000000000000000,福中路(福田),新洲路,162,114.0443192,22.5472794
163,162.000000000000000,莲花路(福田),彩田路,163,114.0625458,22.5581913
164,163.000000000000000,福华一路,益田路,164,114.0512390,22.5395451
165,164.000000000000000,福华一路,金田路(福田),165,114.0580521,22.5396175
166,165.000000000000000,福华一路,民田路,166,114.0478439,22.5394287
167,166.000000000000000,福华一路,新洲路,167,114.0444870,22.5393963
168,167.000000000000000,福田收费站,广深高速公路,168,114.0103836,22.5391655
169,168.000000000000000,皇岗收费站,广深高速公路,169,114.0615540,22.5189190
170,169.000000000000000,南坪收费站,广深高速公路,170,113.9874878,22.5490856
